Fiscal Year,HRSA Program Area,HHS Region,State/Territory,County and State,Cong. District,Program,Grant Num.,Grantee,DUNS Num.,Address,City,State,ZIP Code,County,Funding,As of Date (Close of Business Date),HRSA Data Warehouse Processing Date
2018,Primary Health Care,Region 2,New York,"Richmond County, NY",New York District 11,Health Center Program (H80),H80CS12866,BEACON CHRISTIAN COMMUNITY HEALTH CENTER,801994026,2079 Forest Ave,Staten Island,NY,10303-1865,Richmond County,1699529,11/29/2018,11/30/2018
2018,Health Workforce,Region 9,California,"Los Angeles County, CA",California District 35,Nurse Faculty Loan Program (E01),E01HP28767,WESTERN UNIVERSITY OF HEALTH SCIENCES,93373694,309 E 2nd St,Pomona,CA,91766-1854,Los Angeles County,700694,11/29/2018,11/30/2018
2018,Primary Health Care,Region 1,New Hampshire,"Hillsborough County, NH",New Hampshire District 02,Health Center Program (H80),H80CS12867,"Harbor Homes, Inc.",131864357,45 High St,Nashua,NH,03060-3312,Hillsborough County,2570094,11/29/2018,11/30/2018
2018,Primary Health Care,Region 3,Virginia,"Prince William County, VA",Virginia District 11,Health Center Program (H80),H80CS12871,"Greater Prince William Area Community Health Center, Inc.",786509807,4379 Ridgewood Center Dr,Woodbridge,VA,22192,Prince William County,3464553,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,California,"Sacramento County, CA",California District 06,Health Center Program (H80),H80CS12872,WellSpace Health,73792376,1820 J St,Sacramento,CA,95811-3010,Sacramento County,2744864,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Texas,"Ellis County, TX",Texas District 06,Health Center Program (H80),H80CS12874,ELLIS COUNTY COALITION FOR HEALTH OPTIONS,807868653,201 Ferris Ave Ste J,Waxahachie,TX,75165-3660,Ellis County,1462467,11/29/2018,11/30/2018
2018,Primary Health Care,Region 2,New York,"St. Lawrence County, NY",New York District 21,Health Center Program (H80),H80CS08746,"UNITED CEREBRAL PALSY ASSOCIATION OF THE NORTH COUNTRY, INC.",199249512,4 Commerce Ln,Canton,NY,13617-3739,St. Lawrence County,1711688,11/29/2018,11/30/2018
2018,Primary Health Care,Region 6,Texas,"Gregg County, TX",Texas District 01,Health Center Program (H80),H80CS08217,"LONGVIEW WELLNESS CENTER, INC.",135827421,1107 E Marshall Ave,Longview,TX,75601-5602,Gregg County,2677879,11/29/2018,11/30/2018
2018,Primary Health Care,Region 9,Arizona,"Maricopa County, AZ",Arizona District 09,Health Center Program (H80),H80CS12845,"NATIVE AMERICAN COMMUNITY HEALTH CENTER, INC.",148763329,4041 N Central Ave Bldg C,Phoenix,AZ,85012-3313,Maricopa County,2122272,11/29/2018,11/30/2018
2018,Primary Health Care,Region 5,Indiana,"Tippecanoe County, IN",Indiana District 04,Health Center Program (H80),H80CS12846,PURDUE UNIVERSITY,72051394,401 S Grant St,West Lafayette,IN,47907-2024,Tippecanoe County,2498733,11/29/2018,11/30/2018
