case_id,year,month,day,country_id,iso3,country_name,region,city,location,location_latitude,location_longitude,location_accuracy,incident_type,perpetrator_type,organizational_affiliation,organizational_affiliation_2,loneactor_id,target_group,grouped_target_group,target_group_2,grouped_target_group_2,weapon_type,grouped_weapon_type,weapon_type_2,grouped_weapon_type_2,weapon_description,fatal,n_killed,n_wounded,description,plot_type,plot_targeting,plot_operational_planning,version
1990-0-0,1990,0,0,17,SWE,Sweden,Västra Götaland,Gothenburg,,,,,1,99,,,,200,Political opponents,,,101,Explosives,,,Letter bomb,0,0,m,A letter bomb was sent to a well known anti-racist in Gothenburg. The incident is likely connected to CaseID 1990-6-8 and CaseID 1991-12-30.,,,,2016
1990-3-4,1990,3,4,14,NOR,Norway,Oslo,Oslo,,,,,1,8,Arisk Front (suspected),,,200,Political opponents,,,802,Other,,,CS-gas,0,0,m,"Unknown perpetrators threw a military grenade with teargas into the left-wing collective 'Blitzhuset' where 150 people had gathered for a concert. Many people strapped on gas masks (stored in case of razzia by the police) , but there weren't enough for everyone. One person was injured when she jumped down from the second floor, falling more than 3 meters and hitting the concrete. No arrests were made, but suspicions were directed towards Arisk Front (Aryan Front) also known as Elitegruppa (The elite group).",,,,2016
1990-4-21,1990,4,21,14,NOR,Norway,Agder,Fevik,,,,,1,1,Folkebevegelsen mot innvandring,Boot Boys,,200,Political opponents,,,500,Blunt instruments,600,Beating/kicking,"Sticks, chains, bats and beating/kicking",0,0,5,"The attack known as 'Fevik-slaget' occurred when 40-50 demonstrators travelled to Fevik (Grimstad) to hold an appeal against a meeting held by Folkebevegelsen mot innvandring (FMI) [People's Movement Against Immigration]. The protest was arranged by SOS-Racism and was aimed to be a peaceful demonstration to show dismay with FMIs movement. A person got out of the bus and headed towards the leader of FMI who then attacked him when the person asked if the leader was drunk. He was hit in the back of the head and recieved seven stitches. Other members of FMI were also armed with sticks and attacked other protesters. In total, five people were taken to the hospital. FMI later claimed that they suspected that the demonstrators had weapons with them. There were no weapons and the bus contained men, women and children. The police chief was clear that FMI had initiated the violence. The leader was sentenced to seven months imprisonment in 1992. Two other men, belonging to Boot Boys, were also charged.",,,,2021
1990-5-0,1990,5,0,17,SWE,Sweden,Södermanland,Mellösa,,,,,1,5,,,,104,Ethnic/religious minorities,,,200,Arson/firebomb,,,Arson,0,0,m,"After provoking a fight with a Roma family in Mellösa, two young men set fire to their house. The fire caused severe material damage. There is limited information about this case. ",,,,2016
1990-5-26,1990,5,26,17,SWE,Sweden,Östergötland,Motala,,,,,1,99,,,,102,Ethnic/religious minorities,,,806,Other,,,Smoke bomb,0,0,11,"11 refugees were taken to the hospital after a smoke-bomb was thrown in the building they slept in. There is limited information about this case. Motive not explicitly stated, but sufficently evident to be included. ",,,,2020
1990-5-30,1990,5,30,17,SWE,Sweden,Västra Götaland,Gothenburg,,,,,1,5,,,,102,Ethnic/religious minorities,,,201,Arson/firebomb,,,Two Molotov cocktails,0,0,m,Two young men threw Molotov cocktails at the refugee hostel in Partille. The same perpetrators were involved in CaseID: 1991-10-0. There is limited information about this case. ,,,,2016
1990-6-3,1990,6,3,17,SWE,Sweden,Västra Götaland,Mariestad,,,,,1,99,,,,201,Political opponents,,,100,Explosives,,,Bomb,0,0,0,"The local Free Church, whose members had been involved in solidarity work for refugees, was bombed. The explosion blasted two holes in the outer wall of the church, but nobody was  injured. Prior to the event, there had been mobilization against a refugee center opening in the city and there had been several attacks against anti-racists and immigrants.",,,,2016
1990-6-8,1990,6,8,17,SWE,Sweden,Västra Götaland,Gothenburg,,,,,1,99,,,,200,Political opponents,,,101,Explosives,,,Letter bomb,0,0,0,"A letter bomb was sent to a well known anti-racist in Gothenburg who had conducted several critical interviews with known leaders of the neo-Nazi movement. He has since been repeatedly harrassed by the group. The victim opened the package in the wrong end, resulting in the bomb not exploding. The police disarmed the bomb later. The incident is likely connected to CaseID 1990-0-0 and CaseID 1991-12-30.",,,,2016
1990-6-21,1990,6,21,14,NOR,Norway,Oslo,Oslo,Welhavensgate,,,,1,4,,,,200,Political opponents,,,200,Arson/firebomb,,,Arson,0,0,1,"The perpetrators poured gasoline and set fire to a building occupied by left-wingers. A man was severly injured when he had to jump out of a window on the third floor. The building was substantially damaged by the fire. A neighbour observed the perpetrators in a car, yelling ""Sieg Heil!"" and ""tonight it is going to burn."" No one was arrested for the incident. ",,,,2021
1990-7-25,1990,7,25,3,DNK,Denmark,Hovedstaden,Gilleleje,,,,,1,4,,,,102,Ethnic/religious minorities,,,400,Knives/bladed weapons and sharp objects,,,Knife and beating/kicking,0,0,1,"Fifteen local youngsters stormed an asylum centre and attacked a Palestinian asylum seeker with a knife. The attack was the culmination of former episodes in the same area. Motive not explicitly stated, but sufficiently evident to be included.",,,,2016
